,candidato,municipio,local,zona,secao,turno,votos_recebidos,ds_grau_escolaridade_ensino_fundamental_completo,ds_grau_escolaridade_ensino_médio_incompleto,ds_grau_escolaridade_analfabeto,ds_grau_escolaridade_ensino_médio_completo,ds_grau_escolaridade_superior_completo,ds_grau_escolaridade_lê_e_escreve,ds_grau_escolaridade_ensino_fundamental_incompleto,ds_grau_escolaridade_superior_incompleto,ds_raca_cor_não_informado,ds_raca_cor_preta,ds_raca_cor_parda,ds_raca_cor_branca,ds_raca_cor_amarela,ds_raca_cor_indígena,ds_faixa_etaria_45_a_49_anos,ds_faixa_etaria_50_a_54_anos,ds_faixa_etaria_40_a_44_anos,ds_faixa_etaria_21_a_24_anos,ds_faixa_etaria_25_a_29_anos,ds_faixa_etaria_19_anos,ds_faixa_etaria_20_anos,ds_faixa_etaria_18_anos,ds_faixa_etaria_17_anos,ds_faixa_etaria_16_anos,ds_faixa_etaria_55_a_59_anos,ds_faixa_etaria_85_a_89_anos,ds_faixa_etaria_90_a_94_anos,ds_faixa_etaria_80_a_84_anos,ds_faixa_etaria_75_a_79_anos,ds_faixa_etaria_70_a_74_anos,ds_faixa_etaria_65_a_69_anos,ds_faixa_etaria_35_a_39_anos,ds_faixa_etaria_95_a_99_anos,ds_faixa_etaria_100_anos_ou_mais,ds_faixa_etaria_60_a_64_anos,ds_faixa_etaria_30_a_34_anos,ds_faixa_etaria_inválida,ds_genero_feminino,ds_genero_masculino,eleitores_totais,percentual_votos
632,SEBASTIAO BOCALOM RODRIGUES,1392,3573,1,731,1,106,22,88,16,93,17,17,64,16,304,3,24,2,0,0,29,15,34,31,87,11,5,8,3,1,9,3,1,2,2,7,4,34,0,0,10,37,0,197,136,333,0.3183183183183183
633,SEBASTIAO BOCALOM RODRIGUES,1392,3352,1,664,1,120,12,48,6,96,76,13,46,41,319,2,14,1,1,1,32,27,34,16,47,5,2,2,2,2,22,2,1,4,10,19,13,32,1,0,22,43,0,203,135,338,0.35502958579881655
634,SEBASTIAO BOCALOM RODRIGUES,1392,1295,9,110,1,160,24,44,13,114,35,23,69,31,345,0,7,1,0,0,65,33,91,0,16,0,1,0,1,0,21,2,0,5,6,15,15,16,0,0,10,56,0,205,148,353,0.45325779036827196
635,SEBASTIAO BOCALOM RODRIGUES,1392,3565,1,728,1,93,17,84,14,82,12,14,63,21,284,3,15,4,0,1,16,21,23,27,114,4,8,2,2,0,7,1,0,1,5,2,7,24,0,0,10,33,0,174,133,307,0.30293159609120524
636,SEBASTIAO BOCALOM RODRIGUES,1392,1074,1,14,1,86,11,52,6,72,34,11,38,16,215,3,14,7,0,1,9,25,10,34,25,2,12,8,1,2,29,3,1,8,5,5,15,16,1,0,15,14,0,133,107,240,0.35833333333333334
637,SEBASTIAO BOCALOM RODRIGUES,1392,3492,1,745,1,107,20,18,2,89,65,7,30,25,248,0,5,2,1,0,12,53,26,9,24,1,2,0,0,0,24,2,3,5,6,17,18,14,0,0,17,23,0,128,128,256,0.41796875
638,SEBASTIAO BOCALOM RODRIGUES,1392,3565,1,727,1,105,10,63,18,106,24,17,57,22,298,2,12,5,0,0,26,17,35,25,50,5,4,0,0,1,14,0,0,1,5,7,11,32,0,0,16,68,0,160,157,317,0.3312302839116719
639,SEBASTIAO BOCALOM RODRIGUES,1392,2720,1,472,1,148,25,60,23,89,7,20,80,28,284,3,37,8,0,0,40,22,45,21,27,6,3,6,2,4,22,0,0,4,4,7,14,36,0,0,19,50,0,191,141,332,0.4457831325301205
640,SEBASTIAO BOCALOM RODRIGUES,1392,1040,9,35,1,134,24,49,19,88,43,26,55,26,293,2,30,5,0,0,38,31,67,4,19,2,3,4,1,0,30,3,2,3,6,13,14,39,2,0,16,33,0,185,145,330,0.40606060606060607
641,SEBASTIAO BOCALOM RODRIGUES,1392,3468,1,699,1,122,14,53,4,115,36,12,26,78,303,6,20,9,0,0,18,23,23,3,49,7,2,4,2,1,18,0,0,3,7,7,3,36,0,0,7,125,0,184,154,338,0.3609467455621302
642,SEBASTIAO BOCALOM RODRIGUES,1392,1643,1,184,1,159,16,73,7,114,21,13,40,48,305,2,18,5,2,0,14,22,28,4,41,5,3,6,2,3,16,2,1,4,3,11,22,71,0,0,13,61,0,162,170,332,0.4789156626506024
643,SEBASTIAO BOCALOM RODRIGUES,1392,2569,1,556,1,98,13,63,1,72,21,13,31,17,166,8,39,17,1,0,12,8,20,50,25,9,15,9,4,0,15,0,0,0,0,2,8,25,0,0,9,20,0,127,104,231,0.42424242424242425
644,SEBASTIAO BOCALOM RODRIGUES,1392,2259,9,376,1,107,15,33,3,107,79,5,29,32,287,1,7,8,0,0,131,33,32,23,18,2,2,0,3,0,13,0,0,3,0,5,11,14,0,0,7,6,0,149,154,303,0.35313531353135313
645,SEBASTIAO BOCALOM RODRIGUES,1392,2356,9,97,1,122,12,32,8,99,30,20,55,24,280,0,0,0,0,0,62,15,77,5,20,0,0,0,0,0,18,0,3,2,6,7,7,21,1,0,6,30,0,152,128,280,0.4357142857142857
646,SEBASTIAO BOCALOM RODRIGUES,1392,3310,1,648,1,117,8,35,2,81,105,6,19,62,296,1,17,3,1,0,15,20,46,8,16,3,1,1,2,1,20,2,1,2,5,6,6,92,2,0,15,54,0,175,143,318,0.36792452830188677
647,SEBASTIAO BOCALOM RODRIGUES,1392,1570,9,154,1,132,16,62,16,113,25,17,48,39,302,4,23,7,0,0,23,15,49,12,40,5,8,10,3,0,12,1,1,4,4,4,9,76,0,0,6,54,0,170,166,336,0.39285714285714285
648,SEBASTIAO BOCALOM RODRIGUES,1392,1520,9,146,1,126,12,29,1,65,113,3,21,71,315,0,0,0,0,0,22,15,45,4,14,6,2,2,0,0,15,2,0,1,3,10,11,111,1,0,12,39,0,165,150,315,0.4
649,SEBASTIAO BOCALOM RODRIGUES,1392,1619,9,102,1,149,22,49,26,83,11,33,93,9,305,3,17,0,0,1,92,25,64,13,23,3,1,1,2,0,16,1,1,1,5,8,11,22,1,0,15,21,0,161,165,326,0.4570552147239264
650,SEBASTIAO BOCALOM RODRIGUES,1392,2402,1,89,1,100,19,33,12,67,30,19,55,26,244,2,13,1,1,0,20,11,18,16,20,0,4,2,1,1,35,2,3,4,12,18,23,26,0,0,25,20,0,151,110,261,0.3831417624521073
651,SEBASTIAO BOCALOM RODRIGUES,1392,1627,9,241,1,120,18,81,11,106,16,12,56,29,297,1,27,4,0,0,29,15,21,78,67,6,5,2,0,0,16,1,0,1,1,6,9,27,2,0,14,29,0,177,152,329,0.364741641337386
652,SEBASTIAO BOCALOM RODRIGUES,1392,1600,1,350,1,110,12,31,0,56,90,5,28,23,223,1,14,6,1,0,74,35,8,16,10,5,1,1,2,2,30,2,0,4,6,12,11,4,0,0,17,5,0,138,107,245,0.4489795918367347
653,SEBASTIAO BOCALOM RODRIGUES,1392,3719,1,771,1,97,14,106,11,95,9,22,61,13,301,8,17,4,1,0,29,18,18,84,90,2,10,3,1,0,8,0,0,0,5,3,4,23,0,0,7,26,0,174,157,331,0.2930513595166163
654,SEBASTIAO BOCALOM RODRIGUES,1392,1430,9,285,1,103,10,111,7,111,31,5,30,35,302,4,27,7,0,0,19,22,22,42,130,4,4,4,3,1,11,2,0,3,0,9,3,27,0,0,7,27,0,178,162,340,0.3029411764705882
655,SEBASTIAO BOCALOM RODRIGUES,1392,3859,1,752,1,110,11,19,2,56,139,8,22,32,289,0,0,0,0,0,53,82,32,0,6,0,0,0,0,0,24,2,0,5,4,11,13,21,0,0,17,19,0,161,128,289,0.3806228373702422
656,SEBASTIAO BOCALOM RODRIGUES,1392,3468,1,697,1,134,11,59,7,107,44,11,39,62,311,3,23,3,0,0,24,24,26,6,27,3,3,4,3,0,26,1,0,3,7,8,10,42,0,0,14,109,0,183,157,340,0.3941176470588235
657,SEBASTIAO BOCALOM RODRIGUES,1392,3328,1,651,1,152,18,48,10,114,43,17,54,32,300,5,25,5,1,0,27,24,48,6,15,0,2,4,2,1,17,1,1,6,6,8,15,108,0,0,21,24,0,179,157,336,0.4523809523809524
658,SEBASTIAO BOCALOM RODRIGUES,1392,2569,1,99,1,115,16,33,12,61,38,14,40,21,233,0,2,0,0,0,17,11,24,4,27,0,0,0,0,0,24,2,1,8,9,18,23,26,0,0,28,13,0,119,116,235,0.48936170212765956
659,SEBASTIAO BOCALOM RODRIGUES,1392,2569,1,97,1,109,16,36,8,62,29,22,44,14,220,2,9,0,0,0,14,16,13,11,30,0,0,1,1,0,32,5,1,5,8,15,24,17,0,2,24,12,0,128,103,231,0.47186147186147187
660,SEBASTIAO BOCALOM RODRIGUES,1392,3700,1,770,1,120,13,69,3,87,47,18,43,37,295,0,18,4,0,0,31,15,25,19,54,7,3,1,4,1,13,2,3,4,7,14,11,39,0,0,15,49,0,178,139,317,0.3785488958990536
661,SEBASTIAO BOCALOM RODRIGUES,1392,2020,9,404,1,132,8,68,10,114,43,12,41,40,295,4,25,12,0,0,19,27,26,72,75,9,5,5,1,0,12,0,0,2,3,3,10,25,0,0,8,34,0,175,161,336,0.39285714285714285
662,SEBASTIAO BOCALOM RODRIGUES,1392,3328,1,649,1,168,23,44,14,102,22,39,73,23,300,2,27,10,0,1,63,43,21,2,23,5,2,4,2,2,40,5,1,3,12,15,18,31,1,1,26,20,0,183,157,340,0.49411764705882355
663,SEBASTIAO BOCALOM RODRIGUES,1392,3344,1,659,1,107,8,129,17,112,8,6,41,19,296,10,28,6,0,0,19,14,19,45,155,9,1,4,1,3,8,0,0,2,0,4,5,26,0,1,1,23,0,191,149,340,0.31470588235294117
664,SEBASTIAO BOCALOM RODRIGUES,1392,1490,9,44,1,120,15,37,3,73,77,16,25,44,274,0,12,4,0,0,30,30,38,22,20,6,8,2,0,0,27,5,0,4,10,17,14,17,1,0,21,18,0,161,129,290,0.41379310344827586
665,SEBASTIAO BOCALOM RODRIGUES,1392,3360,1,667,1,126,13,33,7,103,80,9,45,43,308,1,20,4,0,0,31,25,35,16,8,1,4,5,2,0,21,3,1,8,12,11,18,78,0,0,25,29,0,193,140,333,0.3783783783783784
666,SEBASTIAO BOCALOM RODRIGUES,1392,3662,1,758,1,90,10,15,3,62,77,10,24,26,213,1,11,2,0,0,36,55,20,5,5,0,3,3,1,0,24,2,1,3,4,8,14,9,0,0,16,18,0,114,113,227,0.3964757709251101
667,SEBASTIAO BOCALOM RODRIGUES,1392,2127,9,463,1,106,20,127,14,85,6,12,51,8,63,35,194,31,0,0,12,15,23,50,19,47,38,42,22,13,6,0,0,0,0,1,2,15,0,0,3,15,0,177,146,323,0.3281733746130031
668,SEBASTIAO BOCALOM RODRIGUES,1392,3638,1,755,1,106,7,50,0,78,117,2,14,60,299,1,15,12,1,0,29,26,46,8,49,5,7,1,2,3,15,3,2,3,5,6,9,41,0,0,13,55,0,180,148,328,0.3231707317073171
669,SEBASTIAO BOCALOM RODRIGUES,1392,1244,9,98,1,161,21,52,7,94,52,14,58,32,307,0,17,5,1,0,56,46,56,1,26,1,0,3,1,2,24,2,1,2,3,3,13,42,0,0,10,38,0,165,165,330,0.48787878787878786
670,SEBASTIAO BOCALOM RODRIGUES,1392,1570,9,78,1,131,20,53,5,125,33,17,44,36,297,1,27,7,1,0,97,30,27,9,32,7,7,4,2,1,21,0,1,4,2,3,11,17,0,0,6,52,0,181,152,333,0.3933933933933934
671,SEBASTIAO BOCALOM RODRIGUES,1392,3662,1,756,1,151,15,23,2,111,87,6,29,51,324,0,0,0,0,0,38,24,69,0,13,0,0,0,0,0,13,4,1,6,10,13,12,59,2,0,25,35,0,170,154,324,0.4660493827160494
672,SEBASTIAO BOCALOM RODRIGUES,1392,1139,9,65,1,143,20,26,3,123,79,10,35,44,340,0,0,0,0,0,104,34,26,0,20,0,0,0,0,0,37,2,2,1,7,15,13,21,0,0,28,30,0,193,147,340,0.42058823529411765
673,SEBASTIAO BOCALOM RODRIGUES,1392,3336,1,806,1,111,9,92,18,111,14,14,55,24,305,6,23,3,0,0,17,14,24,124,39,10,21,5,2,0,9,0,0,1,1,2,8,34,0,0,6,20,0,167,170,337,0.3293768545994065
674,SEBASTIAO BOCALOM RODRIGUES,1392,3697,1,679,1,79,13,24,0,65,68,6,27,29,223,0,9,0,0,0,20,16,24,12,14,2,3,3,1,0,25,3,1,10,11,17,22,16,0,0,17,15,0,122,110,232,0.34051724137931033
675,SEBASTIAO BOCALOM RODRIGUES,1392,2100,9,334,1,104,8,64,5,87,46,11,31,42,285,1,6,2,0,0,14,16,17,70,77,2,2,1,1,2,12,0,0,0,3,5,5,29,0,0,11,27,0,155,139,294,0.35374149659863946
676,SEBASTIAO BOCALOM RODRIGUES,1392,2054,1,444,1,139,22,58,7,96,26,17,58,38,287,6,26,2,1,0,25,19,45,3,28,0,1,2,4,3,17,4,1,2,1,9,14,98,0,0,17,29,0,172,150,322,0.43167701863354035
677,SEBASTIAO BOCALOM RODRIGUES,1392,2550,1,519,1,89,8,94,0,76,5,6,16,9,178,2,29,5,0,0,8,6,8,24,118,7,4,4,4,2,2,0,0,0,0,2,2,8,0,0,1,14,0,112,102,214,0.4158878504672897
678,SEBASTIAO BOCALOM RODRIGUES,1392,1422,9,291,1,118,6,134,4,88,42,5,28,32,327,2,10,0,0,0,9,17,17,30,173,2,1,0,0,0,11,1,1,2,0,4,7,23,0,0,10,31,0,177,162,339,0.3480825958702065
679,SEBASTIAO BOCALOM RODRIGUES,1392,2356,9,96,1,182,18,34,17,89,16,22,67,13,276,0,0,0,0,0,81,29,16,1,25,0,0,0,0,0,20,8,2,6,6,8,11,21,0,0,14,28,0,145,131,276,0.6594202898550725
680,SEBASTIAO BOCALOM RODRIGUES,1392,1015,9,179,1,104,17,67,8,124,32,10,25,56,313,3,19,3,1,0,11,10,26,15,43,4,5,3,2,1,16,1,1,1,5,6,2,101,0,0,10,76,0,191,148,339,0.30678466076696165
681,SEBASTIAO BOCALOM RODRIGUES,1392,3255,1,572,1,130,10,50,3,112,84,11,27,34,311,0,16,3,1,0,30,24,97,11,14,5,2,2,1,1,14,2,1,2,2,6,5,70,0,0,15,27,0,174,157,331,0.39274924471299094
682,SEBASTIAO BOCALOM RODRIGUES,1392,1295,1,84,1,140,20,48,18,82,20,25,62,13,263,2,19,4,0,0,26,15,51,1,22,5,1,1,4,3,24,4,2,5,12,14,13,36,1,0,17,31,0,163,125,288,0.4861111111111111
683,SEBASTIAO BOCALOM RODRIGUES,1392,1309,9,249,1,176,28,80,28,51,8,41,96,4,272,5,52,7,0,0,25,14,23,55,86,10,8,9,2,2,17,0,0,1,7,4,9,18,0,0,18,28,0,174,162,336,0.5238095238095238
684,SEBASTIAO BOCALOM RODRIGUES,1392,3026,1,809,1,121,10,67,15,91,13,13,50,12,152,11,92,15,1,0,18,20,9,51,32,10,16,14,3,3,20,1,0,1,4,4,9,14,0,0,17,25,0,148,123,271,0.44649446494464945
685,SEBASTIAO BOCALOM RODRIGUES,1392,2062,9,320,1,159,14,47,5,82,50,12,35,28,273,0,0,0,0,0,23,26,30,14,43,0,0,0,0,0,25,0,1,1,6,8,16,18,0,0,20,42,0,158,115,273,0.5824175824175825
686,SEBASTIAO BOCALOM RODRIGUES,1392,2810,1,497,1,134,22,43,6,79,47,16,48,24,260,1,20,4,0,0,35,30,37,8,22,0,3,1,2,0,29,1,3,1,9,14,9,35,0,0,25,21,0,129,156,285,0.47017543859649125
687,SEBASTIAO BOCALOM RODRIGUES,1392,1201,9,165,1,155,17,59,18,93,19,30,71,19,286,5,31,4,0,0,32,12,51,5,31,6,2,3,4,1,20,3,1,9,10,8,11,64,1,0,17,35,0,171,155,326,0.4754601226993865
688,SEBASTIAO BOCALOM RODRIGUES,1392,2178,9,352,1,117,20,98,12,86,7,14,81,15,301,3,24,4,1,0,24,18,30,61,100,3,6,4,5,1,9,0,0,0,1,2,5,25,0,0,8,31,0,206,127,333,0.35135135135135137
689,SEBASTIAO BOCALOM RODRIGUES,1392,3476,1,743,1,71,6,25,6,61,65,3,12,49,227,0,0,0,0,0,21,16,16,16,39,0,0,0,0,0,9,2,2,4,3,5,2,28,1,0,9,54,0,127,100,227,0.31277533039647576
690,SEBASTIAO BOCALOM RODRIGUES,1392,3778,1,842,1,113,17,98,22,95,6,15,71,1,0,38,249,33,2,3,18,16,24,33,18,32,30,31,26,13,13,0,0,2,2,2,6,26,0,0,8,25,0,175,150,325,0.3476923076923077
691,SEBASTIAO BOCALOM RODRIGUES,1392,3743,1,826,1,108,9,100,0,93,23,8,47,21,279,3,17,1,1,0,13,13,17,58,32,29,43,19,1,0,15,0,0,3,0,3,2,19,0,0,7,27,0,152,149,301,0.3588039867109635
692,SEBASTIAO BOCALOM RODRIGUES,1392,3506,1,710,1,130,22,41,11,126,21,25,74,16,309,3,21,3,0,0,22,67,38,2,19,3,3,4,0,1,30,2,1,6,10,12,21,33,0,0,24,38,0,185,151,336,0.3869047619047619
693,SEBASTIAO BOCALOM RODRIGUES,1392,1961,9,443,1,121,22,92,1,115,39,6,29,37,282,3,40,16,0,0,12,18,19,72,43,37,40,19,2,0,13,0,0,0,2,2,9,21,0,0,12,20,0,191,150,341,0.3548387096774194
694,SEBASTIAO BOCALOM RODRIGUES,1392,3247,1,565,1,67,13,52,6,69,23,11,44,10,207,1,15,5,0,0,17,9,23,39,41,10,12,6,0,0,11,1,0,2,1,7,8,20,0,0,6,15,0,117,111,228,0.29385964912280704
695,SEBASTIAO BOCALOM RODRIGUES,1392,2542,1,485,1,121,14,90,11,97,10,16,68,20,284,4,35,3,0,0,17,16,37,16,80,5,4,6,3,0,11,0,0,3,7,5,6,31,1,0,9,69,0,171,155,326,0.37116564417177916
696,SEBASTIAO BOCALOM RODRIGUES,1392,1104,9,245,1,112,17,107,13,93,10,24,48,11,285,3,29,6,0,0,20,19,22,65,83,6,6,9,3,1,10,1,0,3,6,8,9,21,0,0,12,19,0,165,158,323,0.34674922600619196
697,SEBASTIAO BOCALOM RODRIGUES,1392,1759,1,511,1,105,15,64,11,60,7,8,70,9,158,11,70,5,0,0,8,11,23,59,42,8,12,9,3,2,10,0,0,0,0,4,6,10,0,0,10,27,0,128,116,244,0.430327868852459
698,SEBASTIAO BOCALOM RODRIGUES,1392,3573,1,790,1,102,12,103,9,97,15,12,62,28,304,2,25,7,0,0,24,17,21,101,57,2,7,5,4,3,6,0,0,0,2,5,4,35,0,0,12,33,0,197,141,338,0.30177514792899407
699,SEBASTIAO BOCALOM RODRIGUES,1392,2674,1,468,1,159,21,64,17,112,18,17,68,21,301,3,26,7,0,1,32,14,40,20,24,5,3,2,1,0,25,1,0,1,5,9,12,31,0,0,18,95,0,176,162,338,0.47041420118343197
700,SEBASTIAO BOCALOM RODRIGUES,1392,2100,1,164,1,91,7,6,3,35,22,11,26,7,111,1,3,2,0,0,11,13,6,7,7,2,0,0,0,0,17,1,0,7,12,5,3,9,1,0,10,6,0,62,55,117,0.7777777777777778
701,SEBASTIAO BOCALOM RODRIGUES,1392,1740,9,216,1,125,25,70,20,101,13,20,69,16,308,3,20,3,0,0,35,27,30,15,57,8,2,2,4,1,23,0,0,3,2,11,13,23,1,0,12,65,0,173,161,334,0.37425149700598803
702,SEBASTIAO BOCALOM RODRIGUES,1392,2100,9,418,1,102,8,60,5,107,53,5,25,33,291,2,2,1,0,0,22,19,26,86,51,1,1,0,0,1,8,0,1,1,1,2,11,33,0,0,7,25,0,168,128,296,0.34459459459459457
703,SEBASTIAO BOCALOM RODRIGUES,1392,1260,9,103,1,116,13,24,5,97,90,12,30,41,312,0,0,0,0,0,46,24,48,6,17,2,2,1,0,0,30,5,1,3,8,17,16,28,0,0,40,18,0,166,146,312,0.3717948717948718
704,SEBASTIAO BOCALOM RODRIGUES,1392,2968,1,795,1,163,14,85,9,101,14,10,35,10,247,4,21,4,0,2,17,8,23,90,43,6,6,2,1,0,11,0,0,1,1,2,7,27,0,0,6,27,0,145,133,278,0.5863309352517986
705,SEBASTIAO BOCALOM RODRIGUES,1392,1171,9,50,1,187,10,46,2,83,54,2,22,23,210,3,22,7,0,0,19,11,35,32,25,3,3,3,3,0,29,2,0,2,4,10,16,6,1,0,26,12,0,132,110,242,0.7727272727272727
706,SEBASTIAO BOCALOM RODRIGUES,1392,1139,9,177,1,145,11,22,4,101,90,6,28,58,320,0,0,0,0,0,24,19,25,0,7,0,0,0,0,0,22,1,0,4,5,5,26,120,0,0,21,41,0,179,141,320,0.453125
707,SEBASTIAO BOCALOM RODRIGUES,1392,2224,9,369,1,118,21,81,9,91,16,23,76,21,299,9,24,5,1,0,32,21,38,32,55,7,8,7,4,0,18,3,0,3,4,5,9,48,1,0,18,25,0,195,143,338,0.34911242603550297
708,SEBASTIAO BOCALOM RODRIGUES,1392,3468,1,698,1,120,12,53,3,113,29,9,36,78,306,4,20,3,0,0,21,22,19,4,22,6,2,6,4,0,13,3,0,1,8,9,7,25,0,0,11,150,0,180,153,333,0.36036036036036034
709,SEBASTIAO BOCALOM RODRIGUES,1392,2437,9,213,1,183,14,37,55,25,5,49,124,4,277,3,30,3,0,0,28,15,37,41,44,4,3,2,1,0,21,0,0,6,2,11,16,33,0,0,14,35,0,149,164,313,0.5846645367412141
710,SEBASTIAO BOCALOM RODRIGUES,1392,1112,9,315,1,115,9,115,2,106,23,8,43,27,304,3,19,6,0,1,16,16,24,126,69,3,1,6,2,0,12,0,0,0,0,3,4,28,0,0,3,20,0,182,151,333,0.34534534534534533
711,SEBASTIAO BOCALOM RODRIGUES,1392,2402,1,88,1,124,19,43,9,68,22,32,47,23,250,1,9,3,0,0,15,19,17,10,24,5,2,7,0,1,36,6,2,2,9,17,21,28,1,0,25,16,0,149,114,263,0.4714828897338403
712,SEBASTIAO BOCALOM RODRIGUES,1392,3050,1,535,1,111,7,29,2,42,7,7,23,9,89,6,23,7,1,0,10,6,18,24,15,5,3,2,2,0,7,0,0,0,0,3,2,11,0,0,1,17,0,67,59,126,0.8809523809523809
713,SEBASTIAO BOCALOM RODRIGUES,1392,2186,9,450,1,127,9,110,4,98,45,4,27,33,204,11,82,31,1,1,14,11,13,59,40,34,45,31,5,2,16,0,0,0,0,1,6,26,0,0,3,24,0,179,151,330,0.38484848484848483
714,SEBASTIAO BOCALOM RODRIGUES,1392,1295,9,109,1,152,20,40,16,112,23,28,86,24,340,1,7,1,0,0,58,44,25,0,23,0,0,0,0,0,27,4,2,11,15,10,16,36,1,1,20,56,0,218,131,349,0.4355300859598854
715,SEBASTIAO BOCALOM RODRIGUES,1392,3352,1,661,1,132,14,24,2,98,86,14,46,52,297,3,29,6,1,0,73,51,46,7,18,1,3,5,2,0,18,3,0,5,2,11,11,28,0,0,17,35,0,189,147,336,0.39285714285714285
716,SEBASTIAO BOCALOM RODRIGUES,1392,2690,1,506,1,140,25,50,9,89,32,15,57,24,286,2,9,4,0,0,32,24,54,0,43,0,0,0,4,1,24,2,3,6,3,10,12,41,0,0,12,30,0,149,152,301,0.46511627906976744
717,SEBASTIAO BOCALOM RODRIGUES,1392,2232,9,371,1,103,13,51,3,89,79,5,21,46,270,4,23,10,0,0,35,15,41,34,25,11,24,9,2,2,14,2,0,2,4,5,12,29,1,0,8,32,0,162,145,307,0.3355048859934853
718,SEBASTIAO BOCALOM RODRIGUES,1392,2380,9,478,1,108,6,93,2,45,12,9,21,18,0,24,150,28,3,1,5,9,11,19,16,18,11,34,29,14,6,0,0,0,1,2,2,11,0,0,2,16,0,113,93,206,0.5242718446601942
719,SEBASTIAO BOCALOM RODRIGUES,1392,3255,1,571,1,105,17,25,3,83,113,9,37,49,312,1,16,6,1,0,101,34,46,2,10,3,3,2,3,1,20,1,0,2,6,11,17,36,1,1,14,22,0,176,160,336,0.3125
720,SEBASTIAO BOCALOM RODRIGUES,1392,2330,9,400,1,131,23,58,16,98,12,18,70,23,299,4,13,2,0,0,30,15,32,34,30,3,5,2,1,0,12,1,1,0,4,5,19,80,0,1,10,33,0,188,130,318,0.4119496855345912
721,SEBASTIAO BOCALOM RODRIGUES,1392,1236,9,95,1,146,16,33,21,108,15,33,85,26,316,1,19,1,0,0,77,36,34,6,18,4,2,4,0,0,27,2,2,8,10,8,18,40,2,0,17,22,0,168,169,337,0.4332344213649852
722,SEBASTIAO BOCALOM RODRIGUES,1392,3468,1,850,1,150,12,154,4,80,32,2,32,30,0,28,234,82,2,0,17,17,20,18,26,25,11,49,66,26,10,0,0,0,0,3,3,27,0,0,5,23,0,171,175,346,0.43352601156069365
723,SEBASTIAO BOCALOM RODRIGUES,1392,1961,9,266,1,149,14,43,10,128,63,10,37,36,299,0,31,11,0,0,29,38,31,24,52,7,2,1,2,1,21,3,2,2,6,5,14,35,1,0,29,36,0,191,150,341,0.436950146627566
724,SEBASTIAO BOCALOM RODRIGUES,1392,3468,1,820,1,125,11,95,4,139,34,6,28,26,300,1,34,8,0,0,22,9,17,84,30,29,67,21,2,0,4,0,0,0,1,1,7,15,0,0,8,26,0,185,158,343,0.36443148688046645
725,SEBASTIAO BOCALOM RODRIGUES,1392,2135,9,344,1,143,21,85,15,116,31,19,31,24,309,5,22,6,0,0,20,18,30,48,87,2,4,2,3,1,16,3,0,4,6,5,17,27,2,0,17,30,0,191,151,342,0.41812865497076024
726,SEBASTIAO BOCALOM RODRIGUES,1392,1600,9,185,1,145,23,77,12,107,13,9,59,28,298,4,21,5,0,0,21,18,25,9,28,5,7,5,9,3,19,0,1,3,3,7,7,53,0,0,8,97,0,180,148,328,0.4420731707317073
727,SEBASTIAO BOCALOM RODRIGUES,1392,2313,1,446,1,162,15,62,19,93,10,37,90,14,293,6,39,2,0,0,37,25,38,7,38,2,3,4,0,0,23,3,2,8,14,9,14,72,0,0,16,25,0,173,167,340,0.4764705882352941
728,SEBASTIAO BOCALOM RODRIGUES,1392,2313,1,471,1,146,21,58,7,116,11,30,65,27,288,7,37,3,0,0,27,20,31,12,35,2,5,2,3,2,16,1,1,4,12,9,14,33,0,0,7,99,0,160,175,335,0.43582089552238806
729,SEBASTIAO BOCALOM RODRIGUES,1392,2470,1,438,1,134,20,62,21,81,7,28,75,9,277,2,21,3,0,0,28,15,60,4,29,1,1,2,3,1,20,3,1,3,7,9,10,40,1,0,14,51,0,168,135,303,0.44224422442244227
730,SEBASTIAO BOCALOM RODRIGUES,1392,2402,1,87,1,117,17,55,13,64,20,25,55,14,241,0,17,5,0,0,15,11,17,12,26,6,3,8,1,0,29,5,1,11,8,17,23,18,0,0,31,21,0,154,109,263,0.4448669201520912
731,SEBASTIAO BOCALOM RODRIGUES,1392,1872,1,351,1,148,25,58,13,83,19,18,65,31,278,4,21,6,2,1,73,30,27,3,29,1,0,3,5,3,28,2,1,4,4,5,10,35,0,0,12,37,0,162,150,312,0.47435897435897434
732,SEBASTIAO BOCALOM RODRIGUES,1392,1155,9,40,1,106,14,42,6,72,59,4,33,25,223,4,18,10,0,0,12,13,16,32,20,8,10,5,7,1,30,0,1,4,11,12,17,21,0,0,23,12,0,140,115,255,0.41568627450980394
733,SEBASTIAO BOCALOM RODRIGUES,1392,1155,9,71,1,102,15,11,4,80,48,13,35,27,233,0,0,0,0,0,21,101,20,0,4,0,0,0,0,0,34,1,0,1,5,10,7,9,0,0,14,6,0,115,118,233,0.43776824034334766
734,SEBASTIAO BOCALOM RODRIGUES,1392,1422,9,153,1,138,6,35,4,74,68,2,11,36,229,0,5,2,0,0,25,13,34,19,22,7,3,0,1,0,10,1,0,2,3,8,12,38,0,0,17,21,0,114,122,236,0.5847457627118644
735,SEBASTIAO BOCALOM RODRIGUES,1392,3450,1,694,1,107,8,54,9,127,55,11,36,45,321,3,17,3,1,0,28,23,30,46,96,3,4,2,0,1,17,2,0,4,4,5,11,21,0,0,17,31,0,182,163,345,0.3101449275362319
