,candidato,municipio,local,zona,secao,turno,votos_recebidos,ds_grau_escolaridade_ensino_fundamental_completo,ds_grau_escolaridade_ensino_médio_incompleto,ds_grau_escolaridade_analfabeto,ds_grau_escolaridade_ensino_médio_completo,ds_grau_escolaridade_superior_completo,ds_grau_escolaridade_lê_e_escreve,ds_grau_escolaridade_ensino_fundamental_incompleto,ds_grau_escolaridade_superior_incompleto,ds_raca_cor_não_informado,ds_raca_cor_preta,ds_raca_cor_parda,ds_raca_cor_branca,ds_raca_cor_amarela,ds_raca_cor_indígena,ds_faixa_etaria_45_a_49_anos,ds_faixa_etaria_50_a_54_anos,ds_faixa_etaria_40_a_44_anos,ds_faixa_etaria_21_a_24_anos,ds_faixa_etaria_25_a_29_anos,ds_faixa_etaria_19_anos,ds_faixa_etaria_20_anos,ds_faixa_etaria_18_anos,ds_faixa_etaria_17_anos,ds_faixa_etaria_16_anos,ds_faixa_etaria_55_a_59_anos,ds_faixa_etaria_85_a_89_anos,ds_faixa_etaria_90_a_94_anos,ds_faixa_etaria_80_a_84_anos,ds_faixa_etaria_75_a_79_anos,ds_faixa_etaria_70_a_74_anos,ds_faixa_etaria_65_a_69_anos,ds_faixa_etaria_35_a_39_anos,ds_faixa_etaria_95_a_99_anos,ds_faixa_etaria_100_anos_ou_mais,ds_faixa_etaria_60_a_64_anos,ds_faixa_etaria_30_a_34_anos,ds_faixa_etaria_inválida,ds_genero_feminino,ds_genero_masculino,eleitores_totais,percentual_votos
489,SEBASTIAO BOCALOM RODRIGUES,1392,1937,9,421,1,105,15,110,8,102,13,10,40,9,280,2,21,4,0,0,9,8,17,143,63,3,7,3,1,1,11,0,0,0,1,1,2,10,0,0,6,21,0,151,156,307,0.34201954397394135
490,SEBASTIAO BOCALOM RODRIGUES,1392,2470,1,823,1,115,12,104,7,114,6,6,47,8,160,17,113,12,2,0,18,8,15,55,21,44,45,23,9,9,7,0,0,0,1,0,7,23,0,0,4,15,0,165,139,304,0.3782894736842105
491,SEBASTIAO BOCALOM RODRIGUES,1392,1635,9,139,1,134,12,38,11,127,24,18,63,36,305,2,15,5,1,1,22,14,44,5,19,2,3,2,2,3,14,1,0,5,6,6,8,118,0,0,15,40,0,166,163,329,0.4072948328267477
492,SEBASTIAO BOCALOM RODRIGUES,1392,1570,9,195,1,135,9,72,7,118,14,10,28,72,307,3,18,1,1,0,13,17,15,9,40,3,3,3,2,0,11,0,0,3,1,4,5,20,0,0,7,174,0,178,152,330,0.4090909090909091
493,SEBASTIAO BOCALOM RODRIGUES,1392,3263,1,574,1,117,18,63,12,128,36,8,39,29,304,3,21,5,0,0,22,19,28,50,81,1,3,1,2,1,18,1,0,4,2,6,13,28,0,1,15,37,0,196,137,333,0.35135135135135137
494,SEBASTIAO BOCALOM RODRIGUES,1392,1139,9,66,1,123,18,32,4,92,78,18,36,28,301,0,4,1,0,0,50,18,22,0,27,1,1,0,0,1,27,4,1,5,15,16,37,28,2,1,33,17,0,167,139,306,0.4019607843137255
495,SEBASTIAO BOCALOM RODRIGUES,1392,1929,1,532,1,86,20,74,7,74,14,9,39,20,165,8,72,11,0,1,21,15,13,60,44,9,13,13,7,8,1,0,0,1,0,3,4,20,0,0,6,19,0,131,126,257,0.3346303501945525
496,SEBASTIAO BOCALOM RODRIGUES,1392,3310,1,646,1,120,21,27,3,98,89,10,38,37,306,2,11,4,0,0,36,29,24,9,17,0,0,3,1,2,41,11,6,12,15,17,22,21,2,0,32,23,0,192,131,323,0.3715170278637771
497,SEBASTIAO BOCALOM RODRIGUES,1392,1384,1,130,1,155,18,56,20,100,27,27,68,20,308,2,18,8,0,0,48,48,30,22,29,5,3,4,1,1,30,5,2,6,6,10,16,21,0,0,23,26,0,201,135,336,0.46130952380952384
498,SEBASTIAO BOCALOM RODRIGUES,1392,2364,9,350,1,133,25,42,10,126,27,13,52,32,297,3,20,6,1,0,16,18,39,1,22,6,1,5,0,2,26,1,2,7,4,8,11,92,0,0,15,51,0,193,134,327,0.40672782874617736
